Epoch 0, lr 0.001
Epoch 330, lr 1e-05

(330,400) 0 step loss : 0.000954
(330,400) epoch loss : 0.015267
Epoch 331, lr 1e-05

(331,400) 0 step loss : 0.000948
(331,400) epoch loss : 0.015173
Epoch 332, lr 1e-05

(332,400) 0 step loss : 0.000945
(332,400) epoch loss : 0.015112
Epoch 333, lr 1e-05

(333,400) 0 step loss : 0.000936
(333,400) epoch loss : 0.014982
Epoch 334, lr 1e-05

(334,400) 0 step loss : 0.000933
(334,400) epoch loss : 0.014922
Epoch 335, lr 1e-05

(335,400) 0 step loss : 0.000931
(335,400) epoch loss : 0.014900
Epoch 336, lr 1e-05

(336,400) 0 step loss : 0.000921
(336,400) epoch loss : 0.014742
Epoch 337, lr 1e-05

(337,400) 0 step loss : 0.000917
(337,400) epoch loss : 0.014673
Epoch 338, lr 1e-05

(338,400) 0 step loss : 0.000914
(338,400) epoch loss : 0.014629
Epoch 339, lr 1e-05

(339,400) 0 step loss : 0.000904
(339,400) epoch loss : 0.014459
Epoch 340, lr 1e-05

(340,400) 0 step loss : 0.000906
(340,400) epoch loss : 0.014495
Epoch 341, lr 1e-05

(341,400) 0 step loss : 0.000901
(341,400) epoch loss : 0.014417
Epoch 342, lr 1e-05

(342,400) 0 step loss : 0.000895
(342,400) epoch loss : 0.014318
Epoch 343, lr 1e-05

(343,400) 0 step loss : 0.000895
(343,400) epoch loss : 0.014321
Epoch 344, lr 1e-05

(344,400) 0 step loss : 0.000881
(344,400) epoch loss : 0.014103
Epoch 345, lr 1e-05

(345,400) 0 step loss : 0.000884
(345,400) epoch loss : 0.014145
Epoch 346, lr 1e-05

(346,400) 0 step loss : 0.000874
(346,400) epoch loss : 0.013987
Epoch 347, lr 1e-05

(347,400) 0 step loss : 0.000870
(347,400) epoch loss : 0.013917
Epoch 348, lr 1e-05

(348,400) 0 step loss : 0.000875
(348,400) epoch loss : 0.013998
Epoch 349, lr 1e-05

(349,400) 0 step loss : 0.000870
(349,400) epoch loss : 0.013914
Epoch 350, lr 1e-05

(350,400) 0 step loss : 0.000872
(350,400) epoch loss : 0.013948
Epoch 351, lr 1e-05

(351,400) 0 step loss : 0.000871
(351,400) epoch loss : 0.013939
Epoch 352, lr 1e-05

(352,400) 0 step loss : 0.000860
(352,400) epoch loss : 0.013753
Epoch 353, lr 1e-05

(353,400) 0 step loss : 0.000851
(353,400) epoch loss : 0.013609
Epoch 354, lr 1e-05

(354,400) 0 step loss : 0.000848
(354,400) epoch loss : 0.013568
Epoch 355, lr 1e-05

(355,400) 0 step loss : 0.000851
(355,400) epoch loss : 0.013612
Epoch 356, lr 1e-05

(356,400) 0 step loss : 0.000852
(356,400) epoch loss : 0.013629
Epoch 357, lr 1e-05

(357,400) 0 step loss : 0.000843
(357,400) epoch loss : 0.013490
Epoch 358, lr 1e-05

(358,400) 0 step loss : 0.000840
(358,400) epoch loss : 0.013433
Epoch 359, lr 1e-05

(359,400) 0 step loss : 0.000837
(359,400) epoch loss : 0.013385
Epoch 360, lr 1e-05

(360,400) 0 step loss : 0.000842
(360,400) epoch loss : 0.013474
Epoch 361, lr 1e-05

(361,400) 0 step loss : 0.000828
(361,400) epoch loss : 0.013250
Epoch 362, lr 1e-05

(362,400) 0 step loss : 0.000832
(362,400) epoch loss : 0.013310
Epoch 363, lr 1e-05

(363,400) 0 step loss : 0.000826
(363,400) epoch loss : 0.013216
Epoch 364, lr 1e-05

(364,400) 0 step loss : 0.000823
(364,400) epoch loss : 0.013175
Epoch 365, lr 1e-05

(365,400) 0 step loss : 0.000820
(365,400) epoch loss : 0.013124
Epoch 366, lr 1e-05

(366,400) 0 step loss : 0.000824
(366,400) epoch loss : 0.013186
Epoch 367, lr 1e-05

(367,400) 0 step loss : 0.000822
(367,400) epoch loss : 0.013151
Epoch 368, lr 1e-05

(368,400) 0 step loss : 0.000809
(368,400) epoch loss : 0.012941
Epoch 369, lr 1e-05

(369,400) 0 step loss : 0.000814
(369,400) epoch loss : 0.013026
Epoch 370, lr 1e-05

(370,400) 0 step loss : 0.000810
(370,400) epoch loss : 0.012967
Epoch 371, lr 1e-05

(371,400) 0 step loss : 0.000810
(371,400) epoch loss : 0.012957
Epoch 372, lr 1e-05

(372,400) 0 step loss : 0.000810
(372,400) epoch loss : 0.012964
Epoch 373, lr 1e-05

(373,400) 0 step loss : 0.000801
(373,400) epoch loss : 0.012810
Epoch 374, lr 1e-05

(374,400) 0 step loss : 0.000798
(374,400) epoch loss : 0.012772
Epoch 375, lr 1e-05

(375,400) 0 step loss : 0.000800
(375,400) epoch loss : 0.012793
Epoch 376, lr 1e-05

(376,400) 0 step loss : 0.000792
(376,400) epoch loss : 0.012669
Epoch 377, lr 1e-05

(377,400) 0 step loss : 0.000795
(377,400) epoch loss : 0.012723
Epoch 378, lr 1e-05

(378,400) 0 step loss : 0.000802
(378,400) epoch loss : 0.012828
Epoch 379, lr 1e-05

(379,400) 0 step loss : 0.000786
(379,400) epoch loss : 0.012578
Epoch 380, lr 1e-05

(380,400) 0 step loss : 0.000784
(380,400) epoch loss : 0.012542
Epoch 381, lr 1e-05

(381,400) 0 step loss : 0.000788
(381,400) epoch loss : 0.012608
Epoch 382, lr 1e-05

(382,400) 0 step loss : 0.000784
(382,400) epoch loss : 0.012544
Epoch 383, lr 1e-05

(383,400) 0 step loss : 0.000778
(383,400) epoch loss : 0.012450
Epoch 384, lr 1e-05

(384,400) 0 step loss : 0.000779
(384,400) epoch loss : 0.012464
Epoch 385, lr 1e-05

(385,400) 0 step loss : 0.000776
(385,400) epoch loss : 0.012411
Epoch 386, lr 1e-05

(386,400) 0 step loss : 0.000778
(386,400) epoch loss : 0.012455
Epoch 387, lr 1e-05

(387,400) 0 step loss : 0.000781
(387,400) epoch loss : 0.012504
Epoch 388, lr 1e-05

(388,400) 0 step loss : 0.000773
(388,400) epoch loss : 0.012371
Epoch 389, lr 1e-05

(389,400) 0 step loss : 0.000774
(389,400) epoch loss : 0.012386
Epoch 390, lr 1e-05

(390,400) 0 step loss : 0.000774
(390,400) epoch loss : 0.012377
Epoch 391, lr 1.0000000000000002e-06

(391,400) 0 step loss : 0.000768
(391,400) epoch loss : 0.012282
Epoch 392, lr 1.0000000000000002e-06

(392,400) 0 step loss : 0.000764
(392,400) epoch loss : 0.012218
Epoch 393, lr 1.0000000000000002e-06

(393,400) 0 step loss : 0.000757
(393,400) epoch loss : 0.012112
Epoch 394, lr 1.0000000000000002e-06

(394,400) 0 step loss : 0.000755
(394,400) epoch loss : 0.012073
Epoch 395, lr 1.0000000000000002e-06

(395,400) 0 step loss : 0.000757
(395,400) epoch loss : 0.012112
Epoch 396, lr 1.0000000000000002e-06

(396,400) 0 step loss : 0.000758
(396,400) epoch loss : 0.012130
Epoch 397, lr 1.0000000000000002e-06

(397,400) 0 step loss : 0.000756
(397,400) epoch loss : 0.012090
Epoch 398, lr 1.0000000000000002e-06

(398,400) 0 step loss : 0.000753
(398,400) epoch loss : 0.012040
Epoch 399, lr 1.0000000000000002e-06

(399,400) 0 step loss : 0.000752
(399,400) epoch loss : 0.012036
Epoch 0, lr 0.0001

(0,801) 0 step loss : 0.001983
(0,801) epoch loss : 0.031721
Epoch 1, lr 0.0001

(1,801) 0 step loss : 0.001682
(1,801) epoch loss : 0.026907
Epoch 2, lr 0.0001

(2,801) 0 step loss : 0.001487
(2,801) epoch loss : 0.023790
Epoch 3, lr 0.0001

(3,801) 0 step loss : 0.001388
(3,801) epoch loss : 0.022201
Epoch 4, lr 0.0001

(4,801) 0 step loss : 0.001320
(4,801) epoch loss : 0.021114
Epoch 5, lr 0.0001

(5,801) 0 step loss : 0.001302
(5,801) epoch loss : 0.020829
Epoch 6, lr 0.0001

(6,801) 0 step loss : 0.001310
(6,801) epoch loss : 0.020961
Epoch 7, lr 0.0001

(7,801) 0 step loss : 0.001326
(7,801) epoch loss : 0.021208
Epoch 8, lr 0.0001

(8,801) 0 step loss : 0.001336
(8,801) epoch loss : 0.021378
Epoch 9, lr 0.0001

(9,801) 0 step loss : 0.001338
(9,801) epoch loss : 0.021408
Epoch 10, lr 0.0001

(10,801) 0 step loss : 0.001320
(10,801) epoch loss : 0.021118
Epoch 11, lr 0.0001

(11,801) 0 step loss : 0.001301
(11,801) epoch loss : 0.020809
Epoch 12, lr 0.0001

(12,801) 0 step loss : 0.001284
(12,801) epoch loss : 0.020542
Epoch 13, lr 0.0001

(13,801) 0 step loss : 0.001254
(13,801) epoch loss : 0.020062
Epoch 14, lr 0.0001

(14,801) 0 step loss : 0.001238
(14,801) epoch loss : 0.019810
Epoch 15, lr 0.0001

(15,801) 0 step loss : 0.001212
(15,801) epoch loss : 0.019393
Epoch 16, lr 0.0001

(16,801) 0 step loss : 0.001200
(16,801) epoch loss : 0.019194
Epoch 17, lr 0.0001

(17,801) 0 step loss : 0.001189
(17,801) epoch loss : 0.019022
Epoch 18, lr 0.0001

(18,801) 0 step loss : 0.001176
(18,801) epoch loss : 0.018818
Epoch 19, lr 0.0001

(19,801) 0 step loss : 0.001171
(19,801) epoch loss : 0.018742
Epoch 20, lr 0.0001

(20,801) 0 step loss : 0.001163
(20,801) epoch loss : 0.018610
Epoch 21, lr 0.0001

(21,801) 0 step loss : 0.001157
(21,801) epoch loss : 0.018517
Epoch 22, lr 0.0001

(22,801) 0 step loss : 0.001151
(22,801) epoch loss : 0.018411
Epoch 23, lr 0.0001

(23,801) 0 step loss : 0.001143
(23,801) epoch loss : 0.018281
Epoch 24, lr 0.0001

(24,801) 0 step loss : 0.001135
(24,801) epoch loss : 0.018155
Epoch 25, lr 0.0001

(25,801) 0 step loss : 0.001126
(25,801) epoch loss : 0.018023
Epoch 26, lr 0.0001

(26,801) 0 step loss : 0.001118
(26,801) epoch loss : 0.017884
Epoch 27, lr 0.0001

(27,801) 0 step loss : 0.001108
(27,801) epoch loss : 0.017722
Epoch 28, lr 0.0001

(28,801) 0 step loss : 0.001096
(28,801) epoch loss : 0.017536
Epoch 29, lr 0.0001

(29,801) 0 step loss : 0.001089
(29,801) epoch loss : 0.017420
Epoch 30, lr 0.0001

(30,801) 0 step loss : 0.001084
(30,801) epoch loss : 0.017337
Epoch 31, lr 0.0001

(31,801) 0 step loss : 0.001076
(31,801) epoch loss : 0.017210
Epoch 32, lr 0.0001

(32,801) 0 step loss : 0.001070
(32,801) epoch loss : 0.017120
Epoch 33, lr 0.0001

(33,801) 0 step loss : 0.001062
(33,801) epoch loss : 0.016985
Epoch 34, lr 0.0001

(34,801) 0 step loss : 0.001055
(34,801) epoch loss : 0.016885
Epoch 35, lr 0.0001

(35,801) 0 step loss : 0.001048
(35,801) epoch loss : 0.016760
Epoch 36, lr 0.0001

(36,801) 0 step loss : 0.001038
(36,801) epoch loss : 0.016612
Epoch 37, lr 0.0001

(37,801) 0 step loss : 0.001031
(37,801) epoch loss : 0.016504
Epoch 38, lr 0.0001

(38,801) 0 step loss : 0.001023
(38,801) epoch loss : 0.016371
Epoch 39, lr 0.0001

(39,801) 0 step loss : 0.001017
(39,801) epoch loss : 0.016274
Epoch 40, lr 0.0001

(40,801) 0 step loss : 0.001009
(40,801) epoch loss : 0.016140
Epoch 41, lr 0.0001

(41,801) 0 step loss : 0.001002
(41,801) epoch loss : 0.016028
Epoch 42, lr 0.0001

(42,801) 0 step loss : 0.000999
(42,801) epoch loss : 0.015982
Epoch 43, lr 0.0001

(43,801) 0 step loss : 0.000991
(43,801) epoch loss : 0.015859
Epoch 44, lr 0.0001

(44,801) 0 step loss : 0.000982
(44,801) epoch loss : 0.015717
Epoch 45, lr 0.0001

(45,801) 0 step loss : 0.000976
(45,801) epoch loss : 0.015617
Epoch 46, lr 0.0001

(46,801) 0 step loss : 0.000971
(46,801) epoch loss : 0.015533
Epoch 47, lr 0.0001

(47,801) 0 step loss : 0.000966
(47,801) epoch loss : 0.015453
Epoch 48, lr 0.0001

(48,801) 0 step loss : 0.000959
(48,801) epoch loss : 0.015347
Epoch 49, lr 0.0001

(49,801) 0 step loss : 0.000953
(49,801) epoch loss : 0.015242
Epoch 50, lr 0.0001

(50,801) 0 step loss : 0.000947
(50,801) epoch loss : 0.015155
Epoch 51, lr 0.0001

(51,801) 0 step loss : 0.000940
(51,801) epoch loss : 0.015043
Epoch 52, lr 0.0001

(52,801) 0 step loss : 0.000933
(52,801) epoch loss : 0.014933
Epoch 53, lr 0.0001

(53,801) 0 step loss : 0.000930
(53,801) epoch loss : 0.014877
Epoch 54, lr 0.0001

(54,801) 0 step loss : 0.000929
(54,801) epoch loss : 0.014865
Epoch 55, lr 0.0001

(55,801) 0 step loss : 0.000936
(55,801) epoch loss : 0.014970
Epoch 56, lr 0.0001

(56,801) 0 step loss : 0.000926
(56,801) epoch loss : 0.014811
Epoch 57, lr 0.0001

(57,801) 0 step loss : 0.000931
(57,801) epoch loss : 0.014892
Epoch 58, lr 0.0001

(58,801) 0 step loss : 0.000916
(58,801) epoch loss : 0.014648
Epoch 59, lr 0.0001

(59,801) 0 step loss : 0.000919
(59,801) epoch loss : 0.014696
Epoch 60, lr 0.0001

(60,801) 0 step loss : 0.000919
(60,801) epoch loss : 0.014708
Epoch 61, lr 0.0001

(61,801) 0 step loss : 0.000909
(61,801) epoch loss : 0.014547
Epoch 62, lr 0.0001

(62,801) 0 step loss : 0.000898
(62,801) epoch loss : 0.014362
Epoch 63, lr 0.0001

(63,801) 0 step loss : 0.000904
(63,801) epoch loss : 0.014458
Epoch 64, lr 0.0001

(64,801) 0 step loss : 0.000894
(64,801) epoch loss : 0.014301
Epoch 65, lr 0.0001

(65,801) 0 step loss : 0.000897
(65,801) epoch loss : 0.014358
Epoch 66, lr 0.0001

(66,801) 0 step loss : 0.000889
(66,801) epoch loss : 0.014220
Epoch 67, lr 0.0001

(67,801) 0 step loss : 0.000886
(67,801) epoch loss : 0.014171
Epoch 68, lr 0.0001

(68,801) 0 step loss : 0.000879
(68,801) epoch loss : 0.014061
Epoch 69, lr 0.0001

(69,801) 0 step loss : 0.000874
(69,801) epoch loss : 0.013988
Epoch 70, lr 0.0001

(70,801) 0 step loss : 0.000874
(70,801) epoch loss : 0.013986
Epoch 71, lr 0.0001

(71,801) 0 step loss : 0.000874
(71,801) epoch loss : 0.013977
Epoch 72, lr 0.0001

(72,801) 0 step loss : 0.000880
(72,801) epoch loss : 0.014078
Epoch 73, lr 0.0001

(73,801) 0 step loss : 0.000872
(73,801) epoch loss : 0.013957
Epoch 74, lr 0.0001

(74,801) 0 step loss : 0.000865
(74,801) epoch loss : 0.013848
Epoch 75, lr 0.0001

(75,801) 0 step loss : 0.000868
(75,801) epoch loss : 0.013883
Epoch 76, lr 0.0001

(76,801) 0 step loss : 0.000867
(76,801) epoch loss : 0.013875
Epoch 77, lr 0.0001

(77,801) 0 step loss : 0.000859
(77,801) epoch loss : 0.013745
Epoch 78, lr 0.0001

(78,801) 0 step loss : 0.000856
(78,801) epoch loss : 0.013698
Epoch 79, lr 0.0001

(79,801) 0 step loss : 0.000856
(79,801) epoch loss : 0.013698
Epoch 80, lr 0.0001

(80,801) 0 step loss : 0.000850
(80,801) epoch loss : 0.013593
Epoch 81, lr 0.0001

(81,801) 0 step loss : 0.000854
(81,801) epoch loss : 0.013667
Epoch 82, lr 0.0001

(82,801) 0 step loss : 0.000856
(82,801) epoch loss : 0.013703
Epoch 83, lr 0.0001

(83,801) 0 step loss : 0.000861
(83,801) epoch loss : 0.013770
Epoch 84, lr 0.0001

(84,801) 0 step loss : 0.000853
(84,801) epoch loss : 0.013655
Epoch 85, lr 0.0001

(85,801) 0 step loss : 0.000845
(85,801) epoch loss : 0.013521
Epoch 86, lr 0.0001

(86,801) 0 step loss : 0.000845
(86,801) epoch loss : 0.013527
Epoch 87, lr 0.0001

(87,801) 0 step loss : 0.000845
(87,801) epoch loss : 0.013523
Epoch 88, lr 0.0001

(88,801) 0 step loss : 0.000846
(88,801) epoch loss : 0.013533
Epoch 89, lr 0.0001

(89,801) 0 step loss : 0.000840
(89,801) epoch loss : 0.013445
Epoch 90, lr 0.0001

(90,801) 0 step loss : 0.000840
(90,801) epoch loss : 0.013441
Epoch 91, lr 0.0001

(91,801) 0 step loss : 0.000829
(91,801) epoch loss : 0.013258
Epoch 92, lr 0.0001

(92,801) 0 step loss : 0.000827
(92,801) epoch loss : 0.013225
Epoch 93, lr 0.0001

(93,801) 0 step loss : 0.000823
(93,801) epoch loss : 0.013174
Epoch 94, lr 0.0001

(94,801) 0 step loss : 0.000824
(94,801) epoch loss : 0.013186
Epoch 95, lr 0.0001

(95,801) 0 step loss : 0.000818
(95,801) epoch loss : 0.013094
Epoch 96, lr 0.0001

(96,801) 0 step loss : 0.000818
(96,801) epoch loss : 0.013087
Epoch 97, lr 0.0001

(97,801) 0 step loss : 0.000824
(97,801) epoch loss : 0.013181
Epoch 98, lr 0.0001

(98,801) 0 step loss : 0.000811
(98,801) epoch loss : 0.012979
Epoch 99, lr 0.0001

(99,801) 0 step loss : 0.000812
(99,801) epoch loss : 0.012996
Epoch 100, lr 0.0001

(100,801) 0 step loss : 0.000806
(100,801) epoch loss : 0.012902
Epoch 101, lr 0.0001

(101,801) 0 step loss : 0.000800
(101,801) epoch loss : 0.012803
Epoch 102, lr 0.0001

(102,801) 0 step loss : 0.000797
(102,801) epoch loss : 0.012751
Epoch 103, lr 0.0001

(103,801) 0 step loss : 0.000787
(103,801) epoch loss : 0.012589
Epoch 104, lr 0.0001

(104,801) 0 step loss : 0.000789
(104,801) epoch loss : 0.012625
Epoch 105, lr 0.0001

(105,801) 0 step loss : 0.000789
(105,801) epoch loss : 0.012631
Epoch 106, lr 0.0001

(106,801) 0 step loss : 0.000783
(106,801) epoch loss : 0.012528
Epoch 107, lr 0.0001

(107,801) 0 step loss : 0.000789
(107,801) epoch loss : 0.012623
Epoch 108, lr 0.0001

(108,801) 0 step loss : 0.000789
(108,801) epoch loss : 0.012627
Epoch 109, lr 0.0001

(109,801) 0 step loss : 0.000783
(109,801) epoch loss : 0.012521
Epoch 110, lr 0.0001

(110,801) 0 step loss : 0.000784
(110,801) epoch loss : 0.012539
Epoch 111, lr 0.0001

(111,801) 0 step loss : 0.000775
(111,801) epoch loss : 0.012405
Epoch 112, lr 0.0001

(112,801) 0 step loss : 0.000777
(112,801) epoch loss : 0.012435
Epoch 113, lr 0.0001

(113,801) 0 step loss : 0.000775
(113,801) epoch loss : 0.012408
Epoch 114, lr 0.0001

(114,801) 0 step loss : 0.000779
(114,801) epoch loss : 0.012462
Epoch 115, lr 0.0001

(115,801) 0 step loss : 0.000770
(115,801) epoch loss : 0.012316
Epoch 116, lr 0.0001

(116,801) 0 step loss : 0.000766
(116,801) epoch loss : 0.012261
Epoch 117, lr 0.0001

(117,801) 0 step loss : 0.000769
(117,801) epoch loss : 0.012307
Epoch 118, lr 0.0001

(118,801) 0 step loss : 0.000762
(118,801) epoch loss : 0.012193
Epoch 119, lr 0.0001

(119,801) 0 step loss : 0.000757
(119,801) epoch loss : 0.012114
Epoch 120, lr 0.0001

(120,801) 0 step loss : 0.000753
(120,801) epoch loss : 0.012041
Epoch 121, lr 0.0001

(121,801) 0 step loss : 0.000759
(121,801) epoch loss : 0.012150
Epoch 122, lr 0.0001

(122,801) 0 step loss : 0.000756
(122,801) epoch loss : 0.012090
Epoch 123, lr 0.0001

(123,801) 0 step loss : 0.000749
(123,801) epoch loss : 0.011986
Epoch 124, lr 0.0001

(124,801) 0 step loss : 0.000757
(124,801) epoch loss : 0.012109
Epoch 125, lr 0.0001

(125,801) 0 step loss : 0.000749
(125,801) epoch loss : 0.011991
Epoch 126, lr 0.0001

(126,801) 0 step loss : 0.000759
(126,801) epoch loss : 0.012139
Epoch 127, lr 0.0001

(127,801) 0 step loss : 0.000745
(127,801) epoch loss : 0.011920
Epoch 128, lr 0.0001

(128,801) 0 step loss : 0.000748
(128,801) epoch loss : 0.011975
Epoch 129, lr 0.0001

(129,801) 0 step loss : 0.000747
(129,801) epoch loss : 0.011956
Epoch 130, lr 0.0001

(130,801) 0 step loss : 0.000741
(130,801) epoch loss : 0.011849
Epoch 131, lr 0.0001

(131,801) 0 step loss : 0.000735
(131,801) epoch loss : 0.011767
Epoch 132, lr 0.0001

(132,801) 0 step loss : 0.000731
(132,801) epoch loss : 0.011691
Epoch 133, lr 0.0001

(133,801) 0 step loss : 0.000723
(133,801) epoch loss : 0.011567
Epoch 134, lr 0.0001

(134,801) 0 step loss : 0.000728
(134,801) epoch loss : 0.011651
Epoch 135, lr 0.0001

(135,801) 0 step loss : 0.000723
(135,801) epoch loss : 0.011570
Epoch 136, lr 0.0001

(136,801) 0 step loss : 0.000720
(136,801) epoch loss : 0.011525
Epoch 137, lr 0.0001

(137,801) 0 step loss : 0.000725
(137,801) epoch loss : 0.011599
Epoch 138, lr 0.0001

(138,801) 0 step loss : 0.000724
(138,801) epoch loss : 0.011581
Epoch 139, lr 0.0001

(139,801) 0 step loss : 0.000730
(139,801) epoch loss : 0.011680
Epoch 140, lr 0.0001

(140,801) 0 step loss : 0.000718
(140,801) epoch loss : 0.011490
Epoch 141, lr 0.0001

(141,801) 0 step loss : 0.000718
(141,801) epoch loss : 0.011486
Epoch 142, lr 0.0001

(142,801) 0 step loss : 0.000734
(142,801) epoch loss : 0.011739
Epoch 143, lr 0.0001

(143,801) 0 step loss : 0.000727
(143,801) epoch loss : 0.011632
Epoch 144, lr 0.0001

(144,801) 0 step loss : 0.000720
(144,801) epoch loss : 0.011522
Epoch 145, lr 0.0001

(145,801) 0 step loss : 0.000718
(145,801) epoch loss : 0.011487
Epoch 146, lr 0.0001

(146,801) 0 step loss : 0.000716
(146,801) epoch loss : 0.011462
Epoch 147, lr 0.0001

(147,801) 0 step loss : 0.000709
(147,801) epoch loss : 0.011342
Epoch 148, lr 0.0001

(148,801) 0 step loss : 0.000705
(148,801) epoch loss : 0.011282
Epoch 149, lr 0.0001

(149,801) 0 step loss : 0.000700
(149,801) epoch loss : 0.011193
Epoch 150, lr 0.0001

(150,801) 0 step loss : 0.000695
(150,801) epoch loss : 0.011124
Epoch 151, lr 0.0001

(151,801) 0 step loss : 0.000706
(151,801) epoch loss : 0.011295
Epoch 152, lr 0.0001

(152,801) 0 step loss : 0.000704
(152,801) epoch loss : 0.011263
Epoch 153, lr 0.0001

(153,801) 0 step loss : 0.000700
(153,801) epoch loss : 0.011203
Epoch 154, lr 0.0001

(154,801) 0 step loss : 0.000701
(154,801) epoch loss : 0.011220
Epoch 155, lr 0.0001

(155,801) 0 step loss : 0.000695
(155,801) epoch loss : 0.011113
Epoch 156, lr 0.0001

(156,801) 0 step loss : 0.000689
(156,801) epoch loss : 0.011019
Epoch 157, lr 0.0001

(157,801) 0 step loss : 0.000687
(157,801) epoch loss : 0.010986
Epoch 158, lr 0.0001

(158,801) 0 step loss : 0.000681
(158,801) epoch loss : 0.010899
Epoch 159, lr 0.0001

(159,801) 0 step loss : 0.000683
(159,801) epoch loss : 0.010924
Epoch 160, lr 0.0001

(160,801) 0 step loss : 0.000677
(160,801) epoch loss : 0.010832
Epoch 161, lr 0.0001

(161,801) 0 step loss : 0.000675
(161,801) epoch loss : 0.010793
Epoch 162, lr 0.0001

(162,801) 0 step loss : 0.000674
(162,801) epoch loss : 0.010785
Epoch 163, lr 0.0001

(163,801) 0 step loss : 0.000674
(163,801) epoch loss : 0.010786
Epoch 164, lr 0.0001

(164,801) 0 step loss : 0.000681
(164,801) epoch loss : 0.010899
Epoch 165, lr 0.0001

(165,801) 0 step loss : 0.000673
(165,801) epoch loss : 0.010764
Epoch 166, lr 0.0001

(166,801) 0 step loss : 0.000675
(166,801) epoch loss : 0.010799
Epoch 167, lr 0.0001

(167,801) 0 step loss : 0.000682
(167,801) epoch loss : 0.010918
Epoch 168, lr 0.0001

(168,801) 0 step loss : 0.000668
(168,801) epoch loss : 0.010686
Epoch 169, lr 0.0001

(169,801) 0 step loss : 0.000688
(169,801) epoch loss : 0.011003
Epoch 170, lr 0.0001

(170,801) 0 step loss : 0.000669
(170,801) epoch loss : 0.010703
Epoch 171, lr 0.0001

(171,801) 0 step loss : 0.000678
(171,801) epoch loss : 0.010842
Epoch 172, lr 0.0001

(172,801) 0 step loss : 0.000665
(172,801) epoch loss : 0.010638
Epoch 173, lr 0.0001

(173,801) 0 step loss : 0.000659
(173,801) epoch loss : 0.010542
Epoch 174, lr 0.0001

(174,801) 0 step loss : 0.000657
(174,801) epoch loss : 0.010504
Epoch 175, lr 0.0001

(175,801) 0 step loss : 0.000659
(175,801) epoch loss : 0.010538
Epoch 176, lr 0.0001

(176,801) 0 step loss : 0.000648
(176,801) epoch loss : 0.010375
Epoch 177, lr 0.0001

(177,801) 0 step loss : 0.000651
(177,801) epoch loss : 0.010417
Epoch 178, lr 0.0001

(178,801) 0 step loss : 0.000653
(178,801) epoch loss : 0.010454
Epoch 179, lr 0.0001

(179,801) 0 step loss : 0.000644
(179,801) epoch loss : 0.010311
Epoch 180, lr 0.0001

(180,801) 0 step loss : 0.000644
(180,801) epoch loss : 0.010306
Epoch 181, lr 0.0001

(181,801) 0 step loss : 0.000641
(181,801) epoch loss : 0.010249
Epoch 182, lr 0.0001

(182,801) 0 step loss : 0.000640
(182,801) epoch loss : 0.010237
Epoch 183, lr 0.0001

(183,801) 0 step loss : 0.000631
(183,801) epoch loss : 0.010098
Epoch 184, lr 0.0001

(184,801) 0 step loss : 0.000629
(184,801) epoch loss : 0.010068
Epoch 185, lr 0.0001

(185,801) 0 step loss : 0.000628
(185,801) epoch loss : 0.010044
Epoch 186, lr 0.0001

(186,801) 0 step loss : 0.000628
(186,801) epoch loss : 0.010052
Epoch 187, lr 0.0001

(187,801) 0 step loss : 0.000631
(187,801) epoch loss : 0.010101
Epoch 188, lr 0.0001

(188,801) 0 step loss : 0.000629
(188,801) epoch loss : 0.010063
Epoch 189, lr 0.0001

(189,801) 0 step loss : 0.000620
(189,801) epoch loss : 0.009926
Epoch 190, lr 0.0001

(190,801) 0 step loss : 0.000616
(190,801) epoch loss : 0.009851
Epoch 191, lr 0.0001

(191,801) 0 step loss : 0.000619
(191,801) epoch loss : 0.009901
Epoch 192, lr 0.0001

(192,801) 0 step loss : 0.000617
(192,801) epoch loss : 0.009876
Epoch 193, lr 0.0001

(193,801) 0 step loss : 0.000615
(193,801) epoch loss : 0.009834
Epoch 194, lr 0.0001

(194,801) 0 step loss : 0.000608
(194,801) epoch loss : 0.009722
Epoch 195, lr 0.0001

(195,801) 0 step loss : 0.000614
(195,801) epoch loss : 0.009830
Epoch 196, lr 0.0001

(196,801) 0 step loss : 0.000612
(196,801) epoch loss : 0.009790
Epoch 197, lr 0.0001

(197,801) 0 step loss : 0.000605
(197,801) epoch loss : 0.009675
Epoch 198, lr 0.0001

(198,801) 0 step loss : 0.000599
(198,801) epoch loss : 0.009584
Epoch 199, lr 0.0001

(199,801) 0 step loss : 0.000597
(199,801) epoch loss : 0.009553
Epoch 200, lr 0.0001

(200,801) 0 step loss : 0.000598
(200,801) epoch loss : 0.009574
Epoch 201, lr 0.0001

(201,801) 0 step loss : 0.000593
(201,801) epoch loss : 0.009492
Epoch 202, lr 0.0001

(202,801) 0 step loss : 0.000590
(202,801) epoch loss : 0.009436
